HG01890	#E49C1C
HG02011	#E49C1C
HG02282	#E49C1C
HG02554	#E49C1C
NA24385	#548CB8
NA19705	#E49C1C
NA19836	#E49C1C
NA19983	#E49C1C
NA20355	#E49C1C
HG03009	#855BC0
HG03807	#855BC0
HG00864	#7FA771
NA12329	#548CB8
NA18534	#7FA771
HG00512	#7FA771
HG00513	#7FA771
HG00514	#7FA771
HG01114	#CA5150
HG01352	#CA5150
HG01457	#CA5150
HG02953	#E49C1C
HG03371	#E49C1C
HG03520	#E49C1C
HG00171	#548CB8
HG00268	#548CB8
HG00358	#548CB8
HG00096	#548CB8
NA20847	#855BC0
HG02587	#E49C1C
HG02666	#E49C1C
HG02769	#E49C1C
HG02818	#E49C1C
HG03248	#E49C1C
HG01505	#548CB8
HG03732	#855BC0
HG04217	#855BC0
NA18939	#7FA771
NA18989	#7FA771
HG01596	#7FA771
HG02018	#7FA771
HG02059	#7FA771
NA19036	#E49C1C
NA19317	#E49C1C
NA19331	#E49C1C
NA19347	#E49C1C
NA19384	#E49C1C
NA19434	#E49C1C
NA21487	#E49C1C
HG03065	#E49C1C
HG03452	#E49C1C
HG03456	#E49C1C
NA19650	#CA5150
HG01573	#CA5150
HG02106	#CA5150
HG02492	#855BC0
HG00731	#CA5150
HG00732	#CA5150
HG00733	#CA5150
HG03683	#855BC0
HG04036	#855BC0
NA20509	#548CB8
NA19129	#E49C1C
NA19238	#E49C1C
NA19239	#E49C1C
NA19240	#E49C1C
chm13	#548CB8
chm1	#548CB8
mGorGor1	#D79672
mPanPan1	#4DB695
mPanTro3	#31A4E0
mPonAbe1	#806BC3
mPonPyg2	#C280B4
